,amenity,name,point,Closest_Sectors
254,parking,HUDA sector 23 parking,POINT (77.0486395 28.5107738),"[('Sector 1', (28.5187813, 77.0418623)), ('Sector 110A', (28.5159108, 77.0276475)), ('Sector 111', (28.5222773, 77.0336203)), ('Sector 2', (28.5090499, 77.0342831)), ('Sector 21', (28.5143629, 77.0730087)), ('Sector 23', (28.510319, 77.0530094)), ('Sector 22A', (28.505716964038275, 77.07207837211523))]"
255,pharmacy,Shri Balaji Medical Store,POINT (77.0953503 28.4942455),"[('Sector 25', (28.4860888, 77.084224))]"
256,place_of_worship,,POINT (77.1211322 28.4501631),"[('Sector 42', (28.4558973, 77.1084759)), ('Sector 54', (28.441611, 77.1118718))]"
257,place_of_worship,,POINT (77.1207006 28.4508658),"[('Sector 42', (28.4558973, 77.1084759)), ('Sector 54', (28.441611, 77.1118718))]"
258,place_of_worship,Shri Shiv Shakthi Mandir,POINT (77.0933999 28.4931384),"[('Sector 25', (28.4860888, 77.084224)), ('Sector 28', (28.4741302, 77.0825722))]"
259,place_of_worship,Hanuman Temple,POINT (76.866053 28.2861507),[]
260,bank,Syndicate Bank,POINT (76.8591341 28.2889778),[]
261,bank,"HDFC Bank, Bilaspur",POINT (76.8585935 28.289235),[]
262,school,"Government High School, Bilaspur",POINT (76.8659642 28.2860264),[]
263,bank,HDFC Bank,POINT (77.0566548 28.4490382),"[('Sector 16', (28.4687344, 77.0511794)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 32', (28.4458035, 77.0413169)), ('Sector 39', (28.4423675, 77.0504724)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 45', (28.4449004, 77.0663545)), ('Sector 46', (28.4359133, 77.0584045)), ('Sector 51', (28.4287011, 77.0666877))]"
264,atm,Axis Bank,POINT (77.0570273 28.4489464),"[('Sector 16', (28.4687344, 77.0511794)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 32', (28.4458035, 77.0413169)), ('Sector 39', (28.4423675, 77.0504724)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 45', (28.4449004, 77.0663545)), ('Sector 46', (28.4359133, 77.0584045)), ('Sector 51', (28.4287011, 77.0666877))]"
265,atm,State Bank of India,POINT (77.0566378 28.449216),"[('Sector 16', (28.4687344, 77.0511794)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 32', (28.4458035, 77.0413169)), ('Sector 39', (28.4423675, 77.0504724)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 45', (28.4449004, 77.0663545)), ('Sector 46', (28.4359133, 77.0584045)), ('Sector 51', (28.4287011, 77.0666877))]"
266,pharmacy,,POINT (77.0475942 28.4200861),"[('Sector 39', (28.4423675, 77.0504724)), ('Sector 46', (28.4359133, 77.0584045)), ('Sector 47', (28.4251572, 77.0475128)), ('Sector 48', (28.4104903, 77.0394627)), ('Sector 49', (28.4128851, 77.0498362)), ('Sector 50', (28.4166536, 77.0611745)), ('Sector 51', (28.4287011, 77.0666877)), ('Sector 72', (28.4159257, 77.0290772))]"
267,pharmacy,,POINT (77.0485408 28.4200809),"[('Sector 39', (28.4423675, 77.0504724)), ('Sector 46', (28.4359133, 77.0584045)), ('Sector 47', (28.4251572, 77.0475128)), ('Sector 48', (28.4104903, 77.0394627)), ('Sector 49', (28.4128851, 77.0498362)), ('Sector 50', (28.4166536, 77.0611745)), ('Sector 51', (28.4287011, 77.0666877)), ('Sector 72', (28.4159257, 77.0290772))]"
268,pharmacy,Apollo Pharmacy,POINT (77.0467067 28.4172278),"[('Sector 46', (28.4359133, 77.0584045)), ('Sector 47', (28.4251572, 77.0475128)), ('Sector 48', (28.4104903, 77.0394627)), ('Sector 49', (28.4128851, 77.0498362)), ('Sector 50', (28.4166536, 77.0611745)), ('Sector 51', (28.4287011, 77.0666877)), ('Sector 66', (28.3974292, 77.0538823)), ('Sector 72', (28.4159257, 77.0290772))]"
269,fuel,,POINT (76.9548459 28.3753981),"[('Sector 78', (28.3725283, 76.9702955)), ('Sector 80', (28.3702173, 76.9611159)), ('Sector 81', (28.3873647, 76.9475835)), ('Sector 82', (28.3931076, 76.9588762)), ('Sector 82A', (28.3858766, 76.9639317))]"
270,fuel,,POINT (76.865548 28.293273),[]
271,hospital,السكن,POINT (77.0615689 28.4460767),"[('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 32', (28.4458035, 77.0413169)), ('Sector 39', (28.4423675, 77.0504724)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 45', (28.4449004, 77.0663545)), ('Sector 46', (28.4359133, 77.0584045)), ('Sector 51', (28.4287011, 77.0666877)), ('Sector 52', (28.4368166, 77.0795276))]"
272,bank,ICICI Bank,POINT (77.0927011 28.4942205),"[('Sector 25', (28.4860888, 77.084224)), ('Sector 28', (28.4741302, 77.0825722)), ('Sector 22A', (28.505716964038275, 77.07207837211523))]"
273,bank,Deutsche Bank,POINT (77.0930222 28.4949474),"[('Sector 25', (28.4860888, 77.084224)), ('Sector 22A', (28.505716964038275, 77.07207837211523))]"
274,bench,,POINT (77.1164343 28.4847171),[]
275,waste_basket,,POINT (77.1118469 28.4823074),[]
276,waste_basket,,POINT (77.1121787 28.4842962),[]
277,waste_basket,,POINT (77.1121419 28.4842591),[]
278,bench,,POINT (77.1141727 28.4892416),[]
279,waste_basket,,POINT (77.1161441 28.4842084),[]
280,waste_basket,,POINT (77.1154548 28.4831593),[]
281,waste_basket,,POINT (77.1149016 28.4823937),[]
282,waste_basket,,POINT (77.1149183 28.4842131),[]
283,waste_basket,,POINT (77.114581 28.4856931),[]
284,bench,,POINT (77.1135906 28.4855705),[]
285,waste_basket,,POINT (77.1124723 28.4848127),[]
286,waste_basket,,POINT (77.112994 28.4839872),[]
287,fast_food,McDonald's,POINT (77.0927785 28.493899),"[('Sector 25', (28.4860888, 77.084224)), ('Sector 28', (28.4741302, 77.0825722)), ('Sector 22A', (28.505716964038275, 77.07207837211523))]"
288,restaurant,Pizza Hut,POINT (77.0093267 28.4734849),"[('Sector 104', (28.4795324, 76.9937197)), ('Sector 105', (28.4943133, 77.0081378)), ('Sector 12', (28.464066, 77.0259664)), ('Sector 4', (28.4750063, 77.0103535)), ('Sector 8', (28.4598966, 77.0198043)), ('Sector 9A', (28.4690266, 76.9962811))]"
289,bank,State Bank of India,POINT (77.018953 28.4671681),"[('Sector 11', (28.4522331, 77.0267159)), ('Sector 12', (28.464066, 77.0259664)), ('Sector 13', (28.4745997, 77.036719)), ('Sector 4', (28.4750063, 77.0103535)), ('Sector 8', (28.4598966, 77.0198043)), ('Sector 9A', (28.4690266, 76.9962811))]"
290,atm,,POINT (77.0817663 28.451323),"[('Sector 27', (28.4646566, 77.0839505)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 43', (28.4548735, 77.0858864)), ('Sector 45', (28.4449004, 77.0663545)), ('Sector 52', (28.4368166, 77.0795276)), ('Sector 53', (28.4415191, 77.096805))]"
291,clinic,pracksht hospital,POINT (77.0975945 28.4187116),"[('Sector 55', (28.4274166, 77.1097538)), ('Sector 56', (28.4253232, 77.0985157)), ('Sector 57', (28.4232478, 77.0804487)), ('Sector 58', (28.4160012, 77.1085564)), ('Sector 59', (28.4030162, 77.1066682)), ('Sector 60', (28.3985617, 77.0978276)), ('Sector 61', (28.4110188, 77.0963685)), ('Sector 62', (28.407697, 77.0823781))]"
292,bank,ICICI Bank,POINT (77.1064101 28.4346767),"[('Sector 42', (28.4558973, 77.1084759)), ('Sector 53', (28.4415191, 77.096805)), ('Sector 54', (28.441611, 77.1118718)), ('Sector 55', (28.4274166, 77.1097538)), ('Sector 56', (28.4253232, 77.0985157)), ('Sector 58', (28.4160012, 77.1085564))]"
293,restaurant,Naivedyam Restaurant,POINT (77.1063942 28.4348945),"[('Sector 42', (28.4558973, 77.1084759)), ('Sector 53', (28.4415191, 77.096805)), ('Sector 54', (28.441611, 77.1118718)), ('Sector 55', (28.4274166, 77.1097538)), ('Sector 56', (28.4253232, 77.0985157)), ('Sector 58', (28.4160012, 77.1085564))]"
294,restaurant,Bikanervala,POINT (77.1055547 28.4337294),"[('Sector 42', (28.4558973, 77.1084759)), ('Sector 53', (28.4415191, 77.096805)), ('Sector 54', (28.441611, 77.1118718)), ('Sector 55', (28.4274166, 77.1097538)), ('Sector 56', (28.4253232, 77.0985157)), ('Sector 58', (28.4160012, 77.1085564))]"
295,bank,State Bank of India,POINT (77.1055815 28.433569),"[('Sector 42', (28.4558973, 77.1084759)), ('Sector 53', (28.4415191, 77.096805)), ('Sector 54', (28.441611, 77.1118718)), ('Sector 55', (28.4274166, 77.1097538)), ('Sector 56', (28.4253232, 77.0985157)), ('Sector 58', (28.4160012, 77.1085564))]"
296,bank,IndusInd Bank,POINT (77.1053884 28.4338166),"[('Sector 42', (28.4558973, 77.1084759)), ('Sector 53', (28.4415191, 77.096805)), ('Sector 54', (28.441611, 77.1118718)), ('Sector 55', (28.4274166, 77.1097538)), ('Sector 56', (28.4253232, 77.0985157)), ('Sector 58', (28.4160012, 77.1085564))]"
297,bank,Kotak Mahindra Bank,POINT (77.1052328 28.433819),"[('Sector 42', (28.4558973, 77.1084759)), ('Sector 53', (28.4415191, 77.096805)), ('Sector 54', (28.441611, 77.1118718)), ('Sector 55', (28.4274166, 77.1097538)), ('Sector 56', (28.4253232, 77.0985157)), ('Sector 58', (28.4160012, 77.1085564))]"
298,atm,,POINT (77.1063815 28.4346987),"[('Sector 42', (28.4558973, 77.1084759)), ('Sector 53', (28.4415191, 77.096805)), ('Sector 54', (28.441611, 77.1118718)), ('Sector 55', (28.4274166, 77.1097538)), ('Sector 56', (28.4253232, 77.0985157)), ('Sector 58', (28.4160012, 77.1085564))]"
299,bank,HDFC Bank,POINT (77.1064383 28.4346631),"[('Sector 42', (28.4558973, 77.1084759)), ('Sector 53', (28.4415191, 77.096805)), ('Sector 54', (28.441611, 77.1118718)), ('Sector 55', (28.4274166, 77.1097538)), ('Sector 56', (28.4253232, 77.0985157)), ('Sector 58', (28.4160012, 77.1085564))]"
300,fast_food,Burger Singh,POINT (77.1052624 28.4337509),"[('Sector 42', (28.4558973, 77.1084759)), ('Sector 53', (28.4415191, 77.096805)), ('Sector 54', (28.441611, 77.1118718)), ('Sector 55', (28.4274166, 77.1097538)), ('Sector 56', (28.4253232, 77.0985157)), ('Sector 58', (28.4160012, 77.1085564))]"
301,fast_food,Wat-a-Burger,POINT (77.1052415 28.4337192),"[('Sector 42', (28.4558973, 77.1084759)), ('Sector 53', (28.4415191, 77.096805)), ('Sector 54', (28.441611, 77.1118718)), ('Sector 55', (28.4274166, 77.1097538)), ('Sector 56', (28.4253232, 77.0985157)), ('Sector 58', (28.4160012, 77.1085564))]"
302,atm,,POINT (77.1063656 28.4347984),"[('Sector 42', (28.4558973, 77.1084759)), ('Sector 53', (28.4415191, 77.096805)), ('Sector 54', (28.441611, 77.1118718)), ('Sector 55', (28.4274166, 77.1097538)), ('Sector 56', (28.4253232, 77.0985157)), ('Sector 58', (28.4160012, 77.1085564))]"
303,atm,,POINT (77.1116254 28.4359234),"[('Sector 42', (28.4558973, 77.1084759)), ('Sector 53', (28.4415191, 77.096805)), ('Sector 54', (28.441611, 77.1118718)), ('Sector 55', (28.4274166, 77.1097538)), ('Sector 56', (28.4253232, 77.0985157)), ('Sector 58', (28.4160012, 77.1085564))]"
304,pharmacy,Apollo Pharmacy,POINT (77.1118561 28.4357607),"[('Sector 42', (28.4558973, 77.1084759)), ('Sector 53', (28.4415191, 77.096805)), ('Sector 54', (28.441611, 77.1118718)), ('Sector 55', (28.4274166, 77.1097538)), ('Sector 56', (28.4253232, 77.0985157)), ('Sector 58', (28.4160012, 77.1085564))]"
305,parking,,POINT (77.0483485 28.4569382),"[('Sector 11', (28.4522331, 77.0267159)), ('Sector 12', (28.464066, 77.0259664)), ('Sector 13', (28.4745997, 77.036719)), ('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 32', (28.4458035, 77.0413169)), ('Sector 39', (28.4423675, 77.0504724)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 45', (28.4449004, 77.0663545))]"
306,atm,,POINT (77.0649977 28.4637038),"[('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 27', (28.4646566, 77.0839505)), ('Sector 28', (28.4741302, 77.0825722)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 43', (28.4548735, 77.0858864)), ('Sector 45', (28.4449004, 77.0663545)), ('Sector 17A', (28.4782746802606, 77.05779005474827))]"
307,cafe,,POINT (77.0816279 28.4676414),"[('Sector 25', (28.4860888, 77.084224)), ('Sector 27', (28.4646566, 77.0839505)), ('Sector 28', (28.4741302, 77.0825722)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 43', (28.4548735, 77.0858864))]"
308,atm,,POINT (77.0824555 28.4672161),"[('Sector 25', (28.4860888, 77.084224)), ('Sector 27', (28.4646566, 77.0839505)), ('Sector 28', (28.4741302, 77.0825722)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 43', (28.4548735, 77.0858864))]"
309,cafe,,POINT (77.0816003 28.4676069),"[('Sector 25', (28.4860888, 77.084224)), ('Sector 27', (28.4646566, 77.0839505)), ('Sector 28', (28.4741302, 77.0825722)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 43', (28.4548735, 77.0858864))]"
310,cafe,,POINT (77.0824177 28.4676141),"[('Sector 25', (28.4860888, 77.084224)), ('Sector 27', (28.4646566, 77.0839505)), ('Sector 28', (28.4741302, 77.0825722)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 43', (28.4548735, 77.0858864))]"
311,restaurant,,POINT (77.0972058 28.4512702),"[('Sector 27', (28.4646566, 77.0839505)), ('Sector 42', (28.4558973, 77.1084759)), ('Sector 43', (28.4548735, 77.0858864)), ('Sector 52', (28.4368166, 77.0795276)), ('Sector 53', (28.4415191, 77.096805)), ('Sector 54', (28.441611, 77.1118718))]"
312,fast_food,,POINT (77.0555164 28.4127374),"[('Sector 47', (28.4251572, 77.0475128)), ('Sector 48', (28.4104903, 77.0394627)), ('Sector 49', (28.4128851, 77.0498362)), ('Sector 50', (28.4166536, 77.0611745)), ('Sector 51', (28.4287011, 77.0666877)), ('Sector 65', (28.4030162, 77.0695893)), ('Sector 66', (28.3974292, 77.0538823))]"
313,fast_food,Carl's Jr.,POINT (77.0973003 28.4509093),"[('Sector 27', (28.4646566, 77.0839505)), ('Sector 42', (28.4558973, 77.1084759)), ('Sector 43', (28.4548735, 77.0858864)), ('Sector 52', (28.4368166, 77.0795276)), ('Sector 53', (28.4415191, 77.096805)), ('Sector 54', (28.441611, 77.1118718))]"
314,fuel,,POINT (76.8503255 28.2800306),[]
315,restaurant,Bikanerwala,POINT (76.9012419 28.3234329),[]
316,place_of_worship,Rajiv Chowk Mosque,POINT (77.0281357 28.4465523),"[('Sector 10A', (28.4445813, 77.0060231)), ('Sector 11', (28.4522331, 77.0267159)), ('Sector 12', (28.464066, 77.0259664)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 32', (28.4458035, 77.0413169)), ('Sector 33', (28.4384785, 77.0251655)), ('Sector 39', (28.4423675, 77.0504724)), ('Sector 8', (28.4598966, 77.0198043))]"
317,hospital,Anahat Hospital,POINT (77.1071305 28.4832404),"[('Sector 25', (28.4860888, 77.084224))]"
318,fuel,,POINT (77.1030161 28.4824092),"[('Sector 25', (28.4860888, 77.084224)), ('Sector 28', (28.4741302, 77.0825722))]"
319,fuel,,POINT (77.0309357 28.472709),"[('Sector 11', (28.4522331, 77.0267159)), ('Sector 12', (28.464066, 77.0259664)), ('Sector 13', (28.4745997, 77.036719)), ('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 4', (28.4750063, 77.0103535)), ('Sector 8', (28.4598966, 77.0198043))]"
320,school,Lieutenant Atul Kataria School,POINT (77.0337175 28.4783458),"[('Sector 12', (28.464066, 77.0259664)), ('Sector 13', (28.4745997, 77.036719)), ('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 4', (28.4750063, 77.0103535)), ('Sector 8', (28.4598966, 77.0198043)), ('Sector 17A', (28.4782746802606, 77.05779005474827))]"
321,parking,,POINT (77.0340437 28.4584324),"[('Sector 11', (28.4522331, 77.0267159)), ('Sector 12', (28.464066, 77.0259664)), ('Sector 13', (28.4745997, 77.036719)), ('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 32', (28.4458035, 77.0413169)), ('Sector 33', (28.4384785, 77.0251655)), ('Sector 39', (28.4423675, 77.0504724)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 8', (28.4598966, 77.0198043))]"
322,parking,,POINT (77.03287 28.4581486),"[('Sector 11', (28.4522331, 77.0267159)), ('Sector 12', (28.464066, 77.0259664)), ('Sector 13', (28.4745997, 77.036719)), ('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 32', (28.4458035, 77.0413169)), ('Sector 33', (28.4384785, 77.0251655)), ('Sector 39', (28.4423675, 77.0504724)), ('Sector 8', (28.4598966, 77.0198043))]"
323,parking,,POINT (77.0335047 28.4572695),"[('Sector 11', (28.4522331, 77.0267159)), ('Sector 12', (28.464066, 77.0259664)), ('Sector 13', (28.4745997, 77.036719)), ('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 32', (28.4458035, 77.0413169)), ('Sector 33', (28.4384785, 77.0251655)), ('Sector 39', (28.4423675, 77.0504724)), ('Sector 8', (28.4598966, 77.0198043))]"
324,parking,,POINT (77.033959 28.4573996),"[('Sector 11', (28.4522331, 77.0267159)), ('Sector 12', (28.464066, 77.0259664)), ('Sector 13', (28.4745997, 77.036719)), ('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 32', (28.4458035, 77.0413169)), ('Sector 33', (28.4384785, 77.0251655)), ('Sector 39', (28.4423675, 77.0504724)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 8', (28.4598966, 77.0198043))]"
325,bank,HDFC Bank,POINT (77.0385972 28.4195525),"[('Sector 33', (28.4384785, 77.0251655)), ('Sector 47', (28.4251572, 77.0475128)), ('Sector 48', (28.4104903, 77.0394627)), ('Sector 49', (28.4128851, 77.0498362)), ('Sector 50', (28.4166536, 77.0611745)), ('Sector 71', (28.4064564, 77.0233125)), ('Sector 72', (28.4159257, 77.0290772)), ('Sector 72A', (28.4233234, 77.0187775))]"
326,fuel,,POINT (77.0396576 28.4502666),"[('Sector 11', (28.4522331, 77.0267159)), ('Sector 12', (28.464066, 77.0259664)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 32', (28.4458035, 77.0413169)), ('Sector 33', (28.4384785, 77.0251655)), ('Sector 39', (28.4423675, 77.0504724)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 46', (28.4359133, 77.0584045)), ('Sector 8', (28.4598966, 77.0198043))]"
327,fuel,Indian Oil,POINT (77.0394978 28.4501032),"[('Sector 11', (28.4522331, 77.0267159)), ('Sector 12', (28.464066, 77.0259664)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 32', (28.4458035, 77.0413169)), ('Sector 33', (28.4384785, 77.0251655)), ('Sector 39', (28.4423675, 77.0504724)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 46', (28.4359133, 77.0584045)), ('Sector 8', (28.4598966, 77.0198043))]"
328,atm,Bank of Baroda,POINT (77.0342351 28.4392741),"[('Sector 11', (28.4522331, 77.0267159)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 32', (28.4458035, 77.0413169)), ('Sector 33', (28.4384785, 77.0251655)), ('Sector 39', (28.4423675, 77.0504724)), ('Sector 46', (28.4359133, 77.0584045)), ('Sector 47', (28.4251572, 77.0475128)), ('Sector 72A', (28.4233234, 77.0187775))]"
329,hospital,,POINT (77.0352265 28.4349952),"[('Sector 11', (28.4522331, 77.0267159)), ('Sector 32', (28.4458035, 77.0413169)), ('Sector 33', (28.4384785, 77.0251655)), ('Sector 39', (28.4423675, 77.0504724)), ('Sector 46', (28.4359133, 77.0584045)), ('Sector 47', (28.4251572, 77.0475128)), ('Sector 72', (28.4159257, 77.0290772)), ('Sector 72A', (28.4233234, 77.0187775))]"
330,fuel,,POINT (77.0466563 28.4562161),"[('Sector 11', (28.4522331, 77.0267159)), ('Sector 12', (28.464066, 77.0259664)), ('Sector 13', (28.4745997, 77.036719)), ('Sector 14', (28.473784, 77.0471827)), ('Sector 16', (28.4687344, 77.0511794)), ('Sector 30', (28.4616245, 77.0566819)), ('Sector 31', (28.4540044, 77.0497179)), ('Sector 32', (28.4458035, 77.0413169)), ('Sector 39', (28.4423675, 77.0504724)), ('Sector 40', (28.4500427, 77.0577093)), ('Sector 41', (28.4569188, 77.0646046)), ('Sector 45', (28.4449004, 77.0663545))]"
331,place_of_worship,,POINT (77.0873733 28.4218305),"[('Sector 51', (28.4287011, 77.0666877)), ('Sector 52', (28.4368166, 77.0795276)), ('Sector 53', (28.4415191, 77.096805)), ('Sector 55', (28.4274166, 77.1097538)), ('Sector 56', (28.4253232, 77.0985157)), ('Sector 57', (28.4232478, 77.0804487)), ('Sector 58', (28.4160012, 77.1085564)), ('Sector 61', (28.4110188, 77.0963685)), ('Sector 62', (28.407697, 77.0823781))]"
332,fast_food,Domino's,POINT (76.9035584 28.3783663),"[('Sector 15', (28.3843199, 76.9122326)), ('Sector 3', (28.3627664, 76.9193261)), ('Sector 3A', (28.3661708, 76.8916108)), ('Sector 6', (28.3759219, 76.9245485)), ('Sector 7', (28.3760277, 76.9122152)), ('Sector 9', (28.3840986, 76.8861337))]"
333,place_of_worship,Shiva Temple,POINT (76.8985795 28.3605546),"[('Sector 3', (28.3627664, 76.9193261)), ('Sector 3A', (28.3661708, 76.8916108)), ('Sector 7', (28.3760277, 76.9122152))]"
334,place_of_worship,,POINT (76.899188 28.3610552),"[('Sector 3', (28.3627664, 76.9193261)), ('Sector 3A', (28.3661708, 76.8916108)), ('Sector 7', (28.3760277, 76.9122152))]"
335,place_of_worship,,POINT (76.8996229 28.3608745),"[('Sector 3', (28.3627664, 76.9193261)), ('Sector 3A', (28.3661708, 76.8916108)), ('Sector 7', (28.3760277, 76.9122152))]"
336,place_of_worship,,POINT (76.9001877 28.3605998),"[('Sector 3', (28.3627664, 76.9193261)), ('Sector 3A', (28.3661708, 76.8916108)), ('Sector 7', (28.3760277, 76.9122152))]"
337,restaurant,Rao Dhaba,POINT (76.9557753 28.3755596),"[('Sector 78', (28.3725283, 76.9702955)), ('Sector 80', (28.3702173, 76.9611159)), ('Sector 81', (28.3873647, 76.9475835)), ('Sector 82', (28.3931076, 76.9588762)), ('Sector 82A', (28.3858766, 76.9639317))]"
338,fuel,,POINT (76.9324879 28.3977915),"[('Sector 15', (28.3843199, 76.9122326)), ('Sector 81', (28.3873647, 76.9475835)), ('Sector 85', (28.403652, 76.9531428)), ('Sector 86', (28.3981205, 76.9411257)), ('Sector 90', (28.4069974, 76.9365562)), ('Sector 91', (28.4007588, 76.9210802)), ('Sector 92', (28.4089049, 76.9155232)), ('Sector 93', (28.4156048, 76.931638))]"
339,fuel,HP Petrol Pump,POINT (76.9333171 28.3961627),"[('Sector 15', (28.3843199, 76.9122326)), ('Sector 6', (28.3759219, 76.9245485)), ('Sector 81', (28.3873647, 76.9475835)), ('Sector 85', (28.403652, 76.9531428)), ('Sector 86', (28.3981205, 76.9411257)), ('Sector 90', (28.4069974, 76.9365562)), ('Sector 91', (28.4007588, 76.9210802)), ('Sector 92', (28.4089049, 76.9155232)), ('Sector 93', (28.4156048, 76.931638))]"
340,fuel,Vijay Petrol Pump,POINT (76.9295248 28.3986252),"[('Sector 15', (28.3843199, 76.9122326)), ('Sector 81', (28.3873647, 76.9475835)), ('Sector 85', (28.403652, 76.9531428)), ('Sector 86', (28.3981205, 76.9411257)), ('Sector 90', (28.4069974, 76.9365562)), ('Sector 91', (28.4007588, 76.9210802)), ('Sector 92', (28.4089049, 76.9155232)), ('Sector 93', (28.4156048, 76.931638))]"
341,fuel,Indian Oil,POINT (76.9433734 28.4118064),"[('Sector 84', (28.4082289, 76.9630245)), ('Sector 85', (28.403652, 76.9531428)), ('Sector 86', (28.3981205, 76.9411257)), ('Sector 88', (28.4219647, 76.9568078)), ('Sector 89', (28.4184455, 76.9457567)), ('Sector 90', (28.4069974, 76.9365562)), ('Sector 93', (28.4156048, 76.931638)), ('Sector 95A', (28.426163887448066, 76.92446670817928)), ('Sector 89A', (28.432278916542593, 76.94137572662338))]"
342,fuel,Essar Petrol Pump,POINT (76.9413832 28.4053509),"[('Sector 81', (28.3873647, 76.9475835)), ('Sector 82', (28.3931076, 76.9588762)), ('Sector 84', (28.4082289, 76.9630245)), ('Sector 85', (28.403652, 76.9531428)), ('Sector 86', (28.3981205, 76.9411257)), ('Sector 88', (28.4219647, 76.9568078)), ('Sector 89', (28.4184455, 76.9457567)), ('Sector 90', (28.4069974, 76.9365562)), ('Sector 91', (28.4007588, 76.9210802)), ('Sector 93', (28.4156048, 76.931638))]"
343,atm,,POINT (77.0937804 28.4919048),"[('Sector 25', (28.4860888, 77.084224)), ('Sector 28', (28.4741302, 77.0825722))]"
344,bank,HDFC Bank,POINT (77.078525 28.4129417),"[('Sector 50', (28.4166536, 77.0611745)), ('Sector 51', (28.4287011, 77.0666877)), ('Sector 56', (28.4253232, 77.0985157)), ('Sector 57', (28.4232478, 77.0804487)), ('Sector 60', (28.3985617, 77.0978276)), ('Sector 61', (28.4110188, 77.0963685)), ('Sector 62', (28.407697, 77.0823781)), ('Sector 63', (28.3964476, 77.086498)), ('Sector 65', (28.4030162, 77.0695893))]"
345,restaurant,Nook,POINT (77.0448369 28.4063064),"[('Sector 47', (28.4251572, 77.0475128)), ('Sector 48', (28.4104903, 77.0394627)), ('Sector 49', (28.4128851, 77.0498362)), ('Sector 50', (28.4166536, 77.0611745)), ('Sector 65', (28.4030162, 77.0695893)), ('Sector 66', (28.3974292, 77.0538823)), ('Sector 68', (28.388897, 77.0459859)), ('Sector 69', (28.3960701, 77.0372311)), ('Sector 71', (28.4064564, 77.0233125)), ('Sector 72', (28.4159257, 77.0290772))]"
